id,created,locale,topic,is_solved,num_answers,title
1528472,2025-08-11 12:41:51.404986+00,en-US,junk-mail-and-spam,true,13,Messagerie illisible (bitdefender)
1528498,2025-08-11 15:04:25.506203+00,en-US,send-and-receive-email,true,5,Recent emails are coming in unformatted and missing subject and sender info (bitdefender)
1528506,2025-08-11 15:40:29.735812+00,en-US,send-and-receive-email,false,18,Recent emails are coming in unformatted and missing subject and sender info (bitdefender)
1528533,2025-08-11 17:19:53.597559+00,en-US,email-and-messaging,true,7,Every email is suddenly only displaying in html code
1528543,2025-08-11 17:45:40.967599+00,en-US,send-and-receive-email,true,12,Corrupted btinternet emails (bitdefender)
1528577,2025-08-11 19:50:41.291341+00,en-US,send-and-receive-email,false,5,Strange code dominating incoming emails (bitdefender)
1528582,2025-08-11 20:13:18.697892+00,en-US,send-and-receive-email,true,7,my emails are coming in some strange type of figures and numbers starting today (bitdefender)
1528583,2025-08-11 20:15:45.955285+00,en-US,email-and-messaging,false,30,email showing as code (bitdefender)
1528597,2025-08-11 20:55:05.717853+00,en-US,junk-mail-and-spam,true,4,Tous mes mails entrant sont classés en spam et illisibles. (bitdefender)
1528599,2025-08-11 20:59:23.85353+00,en-US,send-and-receive-email,true,40,Thunderbird 141.0 issue with incoming pop email today.  CAUSE: bitdefender
1528606,2025-08-11 21:19:32.001476+00,en-US,send-and-receive-email,true,10,Oddly appearing and formatted emails (bitdefender)
1528608,2025-08-11 21:28:54.496703+00,it,junk-mail-and-spam,true,18,Email: arrivano con le istruzioni base on i messaggi in chiaro
1528624,2025-08-11 22:39:45.115033+00,en-US,customization,false,14,New emails appear as source HTML.  Tried cures.  No luck.  (bitdefender)
1528644,2025-08-12 01:19:54.334932+00,en-US,send-and-receive-email,true,19,"Messages are suddenly not showing subject or from, and body looks like ""View message source"" (bitdefender)"
1528675,2025-08-12 03:56:50.288115+00,en-US,send-and-receive-email,false,2,Messages not being formatted
1528715,2025-08-12 09:00:44.937001+00,en-US,send-and-receive-email,false,11,Emails appearing in HTML format (bitdefender)
1528722,2025-08-12 09:38:37.682352+00,nl,customization,false,3,Nieuwe berichten onleesbaar
1528723,2025-08-12 09:51:17.239366+00,en-US,email-and-messaging,true,2,Problem with the display of downloaded emails (bitdefender)
1528727,2025-08-12 10:07:13.575207+00,en-US,email-and-messaging,false,8,Emails are corrupted (bitdefender)
1528732,2025-08-12 10:29:54.941772+00,en-US,send-and-receive-email,true,1,I have started receiving emails as attached. (bitdefender)
1528733,2025-08-12 10:37:40.724222+00,en-US,security,true,4,"Has Thunderbird done anything with VADE Security? Since yesterday, all of my emails downloaded have been corruted by something called Vade Security, which appears to checking the whole email and including it's report mixed up in the message. (bitdefender)"
1528744,2025-08-12 11:59:22.082819+00,en-US,send-and-receive-email,true,2,Emails received from (at)free.fr servers are no longer displayed in Thunderbird (bitdefender)
1528755,2025-08-12 13:10:58.091705+00,en-US,customization,false,5,Message not displayed in usual format (bitdefender)
1528773,2025-08-12 15:01:51.634401+00,nl,customization,true,3,"Plots zijn afzender en onderwerp verdwenen, ik krijg de hele html-tekst te zien (bitdefender)"
1528775,2025-08-12 15:07:54.449282+00,en-US,send-and-receive-email,true,3,"Is there a new problem with teceiving emails on POP, as they are completely mixed up with VADE Secure techy stuff? (bitdefender)"
1528779,2025-08-12 15:25:56.221817+00,en-US,send-and-receive-email,true,5,"started receiving messages with headers like ""X-RG-Rigid: 688CF4A102060D1 . X-RazorGate-Vade:..."" SOLVED by disabling bitdefender setting Encrypted web scan. (bitdefender)"
